"","datetime","city","state","country","shape","DurationSeconds","DurationHrsMins","comments","DatePosted","latitude","longitude","X"
"66548",2020-07-26,"","","","","0","","","7/26/52 7/26/02 exactly 50 years and they are back&#33 http://www.washingtonpost.com/wp-dyn/articles/A8131-2002Jul26.html",0,0,0
"66549",2020-07-26,"","","","","0","","","http://www.washingtonpost.com/wp-dyn/articles/A8131-2002Jul26.html",0,0,0
"69440",2020-07-04,"","","","","0","","","((NUFORC Note:  No information provided by source of report.  PD))",0,0,0
"70103",2020-07-06,"","mn","","","0","circle","20 seconds","balls of light moveing slow over the sky about 200 feet up.",0,0,0
"70451",2020-07-07,"","nm","","","0","unknown","","UFO&#39s dont exsist",0,0,0
"70643",2019-07-08,"","pa","","","0","light","10 seconds","7/8/63 0.00 bright light in the sky duratin 10- sec. no noise",0,0,0
"70715",2020-07-08,"","","","","0","","0","This isnt a UFO Report&#44 this is more just of a question and I couldnt find an email address on your website to ask it ..im a vivid skyw",0,0,0
"71344",2020-08-10,"","ca","","","0","triangle","30 minutes","((HOAX))  A rotating TR-B3 Spotted in California.",0,0,0
"71633",2020-08-11,"","ky","","","0","chevron","20 seconds","A large craft rose from a landing position in  a field and took off without making a sound.",0,0,0
"72090",2020-08-01,"","oh","","","0","formation","10 minutes","Me and some of my friends saw a formation of UFOs in Greene County&#44 OH.",0,0,0
"72118",2020-08-01,"","nm","","","0","light","3 minutes","Bright light turning into a tiny red dot in the New Mexico skies",0,0,0
"73542",2019-08-15,"","ne","","","0","triangle","45 sec","Warm late summer.  Two members of military witness strange aerial object; turns out to be secret F-117 stealth fighter.",0,0,0
"74653",2020-08-17,"","","","","0","","","Was out side around 10:10 pm watching the stars&#44 my husband had just I&#39m to check the laundry &#44 and then this.   mushroom  object came",0,0,0
"74784",2020-08-18,"","tx","","","0","oval","at home","((HOAX??))  Saw a UFO with a bright beam like light  while laying in bed.  ((NUFORC Note:  Student report; possible hoax.  PD))",0,0,0
"74917",2020-08-18,"","pa","","","0","oval","2 seconds","2 pictures taken back to back.",0,0,0
"75061",2020-08-19,"","","","","0","","","friday august.19 &#442005 hey i realise this is not the place to do this but my sister who lives in tide water in virginia just informed m",0,0,0
"75345",2020-08-20,"","","","","0","","30 seconds","it was summer time about 2.00pm clear day&#44looked to the south and in the sky and there it was a snow white egg shaped obeject it looked",0,0,0
"75415",2020-08-20,"","","","","0","triangle","","White object appeared at a start of a target shooting in the Pacific.  ((NUFORC Note:  Looks like a seagull to us.  PD))",0,0,0
"75676",2020-08-21,"","","","","0","unknown","","I am quoting this incidence from a newspaper. I did&#39nt see it personally. Just to let you guys. You can follow it in http://timesofindi",0,0,0
"75832",2020-08-21,"","wa","","","0","light","15 minutes","Reddish Light above the trees in Snoqualmie Pass.",0,0,0
"76833",2020-08-24,"","ak","","","0","oval","30 seconds","I saw a gold and black oval shaped UFO AND it disappeared",0,0,0
"77539",2020-08-27,"","","","","0","light","","((HOAX??))  I was sleeping in my room when I saw it.  A bright light outside of my neighbors house roof top.",0,0,0
"77567",2020-08-27,"","","","","0","triangle","","I found the triangle UFO on Google Earth&#33  http://img179.imageshack.us/my.php?image=ufogooglekw2.jpg",0,0,0
"77606",2020-08-27,"","or","","","0","fireball","20 sec","7 FT FROM UFO ORB SEEN INSIDE HOW WORKS&#33",0,0,0
"77870",2020-08-28,"","wa","","","0","circle","1 minute","I saw an orb like UFO while on vacation.",0,0,0
"78116",2020-08-29,"","","","","0","","","On NASA ISS stream some stars dissappeared and then turned red and the dislocated at 2:52AM today August 29&#44 2013. Then the NASA went t",0,0,0
"78525",2020-08-31,"","","","","0","","","Check out this conversation going on right now on the Cloudynights telescope forums&#33  http://www.cloudynights.com/ubbthreads/showflat.p",0,0,0
