"","datetime","city","country","shape"
"337",2019-10-11,"parry sound (near) (canada)","ca","disk"
"338",2019-10-11,"portville","us","oval"
"339",2019-10-11,"portville","us","oval"
"340",2019-10-11,"portville","us","oval"
"341",2019-10-11,"portville","us","oval"
"342",2019-10-11,"kirbyville (due south of)","us","other"
"343",2019-10-11,"winnemucca","us","cigar"
"344",2019-10-11,"ashland","us","triangle"
"345",2019-10-11,"augusta","us","light"
"346",2019-10-11,"montgomery","us","light"
"347",2019-10-11,"eureka springs","us","light"
"348",2019-10-11,"parker&#39s lake","","disk"
"349",2019-10-11,"addison (i-355 and us 20 (lake st.)","us","disk"
"350",2020-10-11,"london (uk/england)","gb","diamond"
"351",2020-10-11,"watertown","us","light"
"352",2020-10-11,"elverta","us","light"
"353",2020-10-11,"dolgellau (uk/wales)","gb","changing"
"354",2020-10-11,"whittier","us","light"
"355",2020-10-11,"somerset","us","light"
"356",2020-10-11,"fairbanks","us","other"
"357",2020-10-11,"denver","us","light"
"358",2020-10-11,"columbia","us","teardrop"
"359",2020-10-11,"grass valley","us","triangle"
"360",2020-10-11,"lima","us","teardrop"
"361",2020-10-11,"springfield","us","fireball"
"362",2020-10-11,"reno","us","sphere"
"363",2020-10-11,"randolph","us","cylinder"
"364",2020-10-11,"dallas","us","fireball"
"365",2020-10-11,"san diego","us",""
"366",2020-10-11,"austin","us","circle"
"367",2020-10-11,"new york city (manhattan)","us","egg"
"368",2020-10-11,"truckee","us","sphere"
"369",2020-10-11,"fort knox","","fireball"
"370",2020-10-11,"newaygo","us","circle"
"371",2020-10-11,"nebraska (above?&#44 or above south dakota)","","cigar"
"372",2020-10-11,"placerville","us","light"
"373",2020-10-11,"frederick","us","unknown"
"374",2020-10-11,"bloomington","us","disk"
"375",2020-10-11,"independence","us","chevron"
"376",2020-10-11,"honolulu","us","triangle"
"377",2020-10-11,"los angeles","us","rectangle"
"378",2020-10-11,"dallas","us","light"
"379",2020-10-11,"pitman","us","other"
"380",2020-10-11,"san jose","us","light"
"381",2020-10-11,"nuevo laredo (mexico)","","light"
"382",2020-10-11,"salinas","us","formation"
"383",2020-10-11,"arroyo grande","us","circle"
"384",2020-10-11,"fresno","us","rectangle"
"385",2020-10-11,"strongsvilles","","light"
"386",2020-10-11,"laredo","us","fireball"
"387",2020-10-11,"eastsound","us","sphere"
"388",2020-10-11,"lake worth","us","formation"
"389",2020-10-11,"williamsville","us","light"
"390",2020-10-11,"cannock (uk/england)","gb","formation"
"391",2020-10-11,"holiday","us","light"
"392",2020-10-11,"eagan","us","circle"
"393",2020-10-11,"siloam sprngs","","circle"
"394",2020-10-11,"canyonlands np","","formation"
"395",2020-10-11,"lake point","us","light"
"396",2020-10-11,"pearl harbor","","light"
"397",2020-10-11,"peoria","us","light"
"398",2020-10-11,"buckeye","us","formation"
"399",2020-10-11,"casa grande","us","light"
"400",2020-10-11,"tempe","us","triangle"
"401",2020-10-11,"mobile","us","light"
"402",2020-10-11,"little ferry","us","oval"
"403",2020-10-11,"wall lake","us","light"
"404",2020-10-11,"rotherham (south yorkshire) (uk/england)","gb","oval"
"405",2020-10-11,"nashville","us","disk"
"406",2020-10-11,"calumet city","","circle"
"407",2020-10-11,"york","","disk"
"408",2020-10-11,"littlerock","","oval"
"409",2020-10-11,"lynnwood","us","unknown"
"410",2020-10-11,"monterey park","us","fireball"
"411",2020-10-11,"two harbors","us","light"
"412",2020-10-11,"pensacola","us","diamond"
"413",2020-10-11,"milton","us","light"
"414",2020-10-11,"kidlington (uk/england)","gb","formation"
"415",2020-10-11,"la crescenta","us","circle"
"416",2020-10-11,"enid","us","light"
"417",2020-10-11,"pampa","us","triangle"
"418",NA,"rome","us","oval"
"419",2020-10-11,"melbourne","us","oval"
"420",2020-10-11,"carlton","us","cylinder"
"421",2020-10-11,"clackamas","us","circle"
"422",2020-10-11,"brassall (australia)","","unknown"
"423",2020-10-11,"seattle","us","triangle"
"424",2020-10-11,"frankfort","us","sphere"
"425",2020-10-11,"tega cay","us","light"
"426",2020-10-11,"gulf shores","us","disk"
"427",2020-10-11,"london (uk/england)","gb","unknown"
"428",2020-10-11,"klagenfurt (austria)","","chevron"
"429",2020-10-11,"monrovia","us","unknown"
"430",2020-10-11,"brownsville","us","disk"
"431",2020-10-11,"concord","us","light"
"432",2020-10-11,"salisbury","us","sphere"
"433",2020-10-11,"bellmere (australia)","","cylinder"
"434",2020-10-11,"bridgeport","us","circle"
"435",2020-10-11,"dover","us","sphere"
"436",2020-10-11,"riverside","us","light"
"437",2020-10-11,"naples","us","triangle"
"438",2020-10-11,"centerville","us","light"
"439",2020-10-11,"villa park/lombard","","changing"
"440",2020-10-11,"albuquerque","us","fireball"
"441",2020-10-11,"los angeles","us","triangle"
"442",2020-10-11,"sedro woolley","","unknown"
"443",2020-10-11,"deer park","us","other"
"444",2020-10-11,"crisfield","us","light"
"445",2020-10-11,"st. john&#39s (canada)","ca","flash"
"446",2020-10-11,"plymouth","us","triangle"
"447",2020-10-11,"glendale","us","egg"
"448",2020-10-11,"louisville","us","disk"
"449",2020-10-11,"rowlett","us","disk"
"450",2020-10-11,"west palm beach","us","oval"
"451",2020-10-11,"north smithfield","us","circle"
"452",2020-10-11,"putnamville","us","flash"
"453",2020-10-11,"madison","us","light"
"454",2020-10-11,"redondo beach","us","other"
"455",2020-10-11,"moxee","","rectangle"
"456",2020-10-11,"albany","us","oval"
"457",2020-10-11,"west palm beach","us","sphere"
"458",2020-10-11,"orangevale","us","changing"
"459",2020-10-11,"cottage grove","us","light"
"460",2020-10-11,"glendora","us","circle"
"461",2020-10-11,"ramona","us","triangle"
"462",2020-10-11,"union city","us","other"
"463",2020-10-11,"clinton township","","fireball"
"464",2020-10-11,"omaha","us","chevron"
"465",2020-10-11,"henderson","us","other"
"466",2020-10-11,"cedar city","us","light"
"467",2020-10-11,"des moines","us","light"
"468",2020-10-11,"new bedford","us","circle"
"469",2020-10-11,"monroe","us",""
"470",2020-10-11,"holden beach","us","circle"
"471",2020-10-11,"harrodsburg","us","unknown"
"472",2020-10-11,"worcester","us","unknown"
"473",2020-10-11,"watchung (was my perspective)","us","sphere"
"474",2020-10-11,"tewksbury","us","light"
"475",2020-10-11,"las vegas; enroute to (15 n freeway)","","disk"
"476",2020-10-11,"bablyon","","disk"
"477",2020-10-11,"angola","us","cigar"
"478",2020-10-11,"yakima","us","unknown"
"479",2020-10-11,"arbutus","us","light"
"480",2020-10-11,"forty fort","us","fireball"
"481",2020-10-11,"saratoga springs","us","circle"
"482",2020-10-11,"nanticoke","us","diamond"
"483",2020-10-11,"las cruces","us","fireball"
"484",2020-10-11,"ravensdale","us","triangle"
"485",2020-10-11,"levittown","us","diamond"
"486",2020-10-11,"phoenix","us","sphere"
"487",2020-10-11,"blue island","us","circle"
"488",NA,"truth or consequences","us","unknown"
"489",2020-10-11,"saginaw","us","chevron"
"490",2020-10-11,"hamilton (canada)","ca","cylinder"
"491",2020-10-11,"ankeny","us","circle"
"492",2020-10-11,"palm beach gardens","us","light"
"493",2020-10-11,"pickering (canada)","ca","circle"
